Subsystem,Section,Subteam,Project,Part,Mass Margin (%),Component Mass % Relative to Vehicle,Component Mass % Without PV,Mass Allotted (lbs),Minimum Mass Allotted (lbs),Maximum Mass Allotted (lbs),kg,Mass Measured (lbs),Mass Measured (kg),Mass Allotted (kg),Minimum Mass Allotted (kg),Maximum Mass Allotted (kg),Notes,length,outerDiameter,startDiameter,endDiameter,Tip Position x (m),Tip Position y (m),Tip Position z (m),CGx (m),CGy (m),CGz (m),Rocket CGz (m),Radial CG (m),Theta (degrees),Length (in),Diam/Width (in),Tip Position (in),CGx (in),CGy (in),CGz (in),CGz (in),Radial CG (in),MOIx (kg m^2),MOIy (kg m^2),MOIz (kg m^2),Shape,surfaceRoughness,class,Wet Mass Allocation,Dry Mass Allocation
,,,,Bolts,10.00%,0.61%,0.77%,0.6600,0.5940,0.7260,0.2994,0.7200,0.3265865064,0.2993709642,0.2694338678,0.3293080606,Button Head Hex Drive_0.25-20 0.75 L_18-8SS_92949A540,,,,,,,1.83,,,,,,,,,,,,,,,0.002025,0.002025,0.00405,Cylindrical,,Mass,0.37%,0.43%
,,,,Tube,2.00%,20.03%,25.05%,23.6800,23.2064,24.1536,10.7411,23.4936,10.65651911,10.74106732,10.52624598,10.95588867,wall_pressureVessel_mid,1.8288,0.15,,,,,1.7770602,0,0,-0.91,0.91,-0.91,0.91,-1.82,2.73,-3.64,4.55,-6.37,9.1,-12.74,17.29,0.0514741,3.21616045,3.21616045,Cylindrical,,Bodytube,11.94%,14.16%
,,,,Nitrous Oxide,10.00%,,14.93%,30.8600,27.7740,33.9460,13.9978,14.0000,6.35029318,13.99786054,12.59807448,15.39764659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11%,8.44%
,,,,Upper O-rings,1.00%,0.01%,0.01%,0.0100,0.0099,0.0101,0.0045,0.0113,0.00511041658,0.0045359237,0.004490564463,0.004581282937,ORing_-251_VMQ_9396K242,,0.1368298,,,0,0,1.91,0,0,0,,,,,,,,,,,,0.00001136,0.00001136,0.00002271,Cylindrical,,Mass,0.01%,0.01%
,,,,Lower O-rings,1.00%,0.01%,0.01%,0.0100,0.0099,0.0101,0.0045,0.0113,0.00511041658,0.0045359237,0.004490564463,0.004581282937,ORing_-251_VMQ_9396K242,,0.1368298,,,0,0,3.61,0,0,0,,,,,,,,,,,,0.00001136,0.00001136,0.00002271,Cylindrical,,Mass,0.01%,0.01%
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plumbing,Total,12.58,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Upper,10.00%,3.03%,3.78%,4.4000,3.9600,4.8400,1.9958,3.5500,1.610252914,1.995806428,1.796225785,2.195387071,Upper Plumbing (Heterogenous Assembly),,,,,,,1.775714,0,0,0.09810956,-0.09810956,0,0,0,0,0,0,0,3.862581102,-3.862581102,0,0.00116469,0.00239531,0.00256021,Cylindrical,,Mass,1.80%,2.14%
,,,,Lower,10.00%,5.40%,6.75%,7.7000,6.9300,8.4700,3.4927,6.3326,2.872407548,3.492661249,3.143395124,3.841927374,Plumbing (Heterogenous Assembly),,,,, ,,3.6234116,0,0,0.24515726,#VALUE!,0,0,0,0,#VALUE!,0,0,9.65186063,#VALUE!,0,0.00375463,0.01348214,0.01462884,Cylindrical,,Mass,3.22%,3.82%
,,,,Thrust Bars,,0.16%,0.20%,0.4800,0.4800,0.4800,0.2177,0.1900,0.0861825503,0.2177243376,0.2177243376,0.2177243376,Bar_ThrustBar_Lower,,,,,,,3.71,0,0,-0.08,0.08,0,0,0,0,0,0,0,-3.149606299,3.149606299,0,0,0,0,,,Mass,0.10%,0.11%
,,,,,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,Lower,Total,26.19,,,0.00%,0.00%,,0.0000,0.0000,,,0.00,0.00,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Transistion,,,0.00%,0.00%,0.3500,0.3500,0.3500,0.1588,,0,0.1587573295,0.1587573295,0.1587573295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Airframe,Total,4.00,,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,Fin Can,Total,4.00,0.00%,0.00%,,0.0000,0.0000,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Fins,,1.28%,1.60%,,0.0000,0.0000,,1.5000,0.680388555,0,0,0,calculate MOI by hand assume a hoop (hoop weights the mass of all 3 fins combined),,,,,0.1,0.1,4.08,0,0,-0.13,,,,,,,,,,,,0.00738238687,0.00738238687,0.01476477374,Cylindrical,,FinSet,,
