Time (s),Injector Temp (C),NOX Pressure (PSI),Ox Tank Load Cell (kg),Thrust Load Cell (lbf),Chamber Pressure (PSI),Light Sensor (V),Nitrous Bottle (PSI),Comment
1639.091,22.558729,673.296636,-7.012572,31.69408,7.796723,0.499828,513.475837,
1639.092,21.982857,675.82486,-7.034452,31.595728,6.976271,0.492937,509.248465,
1639.093,21.584176,674.248824,-7.001632,30.415501,9.970921,0.507703,514.994408,
1639.094,21.539878,673.198134,-7.034452,32.087489,9.068423,0.509016,515.281705,
1639.095,23.001708,669.816225,-7.034452,33.661125,8.412062,0.525094,510.684951,
1639.096,21.318388,672.607121,-7.012572,32.480898,7.509565,0.523126,516.512979,
1639.097,21.318388,675.10251,-7.034452,30.513854,6.81218,0.538548,511.423715,
1639.098,21.849963,674.544331,-7.045392,30.218797,8.86331,0.542485,507.976149,
1639.099,21.938559,672.607121,-7.012572,32.382546,8.247971,0.540845,514.337729,
1639.1,23.223197,670.801247,-7.034452,33.169364,8.330017,0.535595,513.065413,Standby
1639.101,21.318388,672.410117,-7.045392,32.874307,7.632632,0.52936,511.916224,
1639.102,21.052601,671.425095,-7.056332,32.087489,8.658197,0.510657,508.509701,
1639.103,22.558729,673.559309,-7.023512,33.661125,8.658197,0.511313,511.669969,
1639.104,21.761367,672.344448,-7.034452,32.185842,6.730135,0.496547,513.968347,
1639.105,22.027155,672.180278,-7.023512,31.989137,7.59161,0.492937,510.192441,
1639.106,21.849963,674.905506,-7.012572,27.759991,8.453084,0.495234,511.587885,
1639.107,22.160048,671.096754,-7.045392,29.628684,10.340124,0.495891,512.449776,
1639.108,21.318388,672.377283,-7.023512,31.595728,7.550587,0.486703,510.028271,
1639.109,21.185495,674.380161,-7.012572,31.69408,7.632632,0.502125,513.229583,
1639.11,21.451282,674.248824,-7.034452,31.69408,8.904333,0.510657,511.957267,
1639.111,21.717069,670.046064,-7.045392,32.087489,9.027401,0.521813,508.427616,
1639.112,21.539878,672.639955,-7.023512,32.480898,8.124904,0.535923,508.755955,
1639.113,21.761367,672.738457,-7.023512,33.85783,7.099339,0.536251,513.598965,
1639.114,22.470133,674.511497,-7.012572,31.890785,7.509565,0.542814,515.035451,
1639.115,20.388133,668.995374,-7.023512,30.513854,7.919791,0.540845,510.808078,
1639.116,20.964005,673.624977,-7.023512,32.579251,8.740243,0.525751,511.095375,
1639.117,22.425835,671.031086,-7.045392,33.071012,9.109446,0.516891,514.091474,
1639.118,22.381538,669.29088,-7.045392,33.366068,6.155819,0.511641,508.632828,
1639.119,22.913112,674.21599,-7.012572,32.972659,8.165926,0.523782,509.699932,
